locations,Altitude in masl,Average Annual Rainfall(in mm)
Pokhara,< 1000,> 3000
Kaski,< 1000,> 3000
Khudibazar,< 1000,> 3000
Lamjung,< 1000,> 3000
Mahendranagar,< 1000,1000-2000
Kanchanpur,< 1000,1000-2000
Nepalganj,< 1000,1000-2000
Banke,< 1000,1000-2000
Dhangadi,< 1000,1000-2000
Kailali,< 1000,1000-2000
Bhairahawa,< 1000,1000-2000
Rupandehi,< 1000,1000-2000
Janakpur,< 1000,1000-2000
Dhanusha,< 1000,1000-2000
Dipayal,< 1000,1000-2000
Doti,< 1000,1000-2000
Simara,< 1000,1000-2000
Bara,< 1000,1000-2000
Biratnagar,< 1000,1000-2000
Morang,< 1000,1000-2000
Butawal,< 1000,2000 - 3000
Rupandehi,< 1000,2000 - 3000
Khairenitar,< 1000,2000 - 3000
Tanahu,< 1000,2000 - 3000
Hetauda,< 1000,2000 - 3000
Makawanpur,< 1000,2000 - 3000
Syangja,< 1000,2000 - 3000
Syangja,< 1000,2000 - 3000
Panchsaya Khola,1000-1500,> 3000
Salyan,1000-1500,1000-2000
Nuwakot,1000-1500,1000-2000
Dhankuta,1000-1500,1000-2000
Patan,1000-1500,1000-2000
Baitadi,1000-1500,1000-2000
Gorkha,1000-1500,1000-2000
Ilam,1000-1500,1000-2000
Doti,1000-1500,1000-2000
Silgadhi,1000-1500,1000-2000
Dailekh,1000-1500,1000-2000
Taplethok,1000-1500,2000 - 3000
Lumle,1500-2000,> 3000
Kaski,1500-2000,> 3000
Okhaldhunga,1500-2000,1000-2000
Pakhribas,1500-2000,1000-2000
Tamghas,1500-2000,1000-2000
Bhojpur,1500-2000,1000-2000
Dadeldhura,1500-2000,1000-2000
Chatara,1500-2000,2000 - 3000
Kannyam,1500-2000,2000 - 3000
Jomsom,2000-3000,< 500
Mustang,2000-3000,< 500
Lete,2000-3000,> 3000
Daman,2000-3000,1000-2000
Makawanpur,2000-3000,1000-2000
Musikot,2000-3000,2000 - 3000
Kakani,2000-3000,2000 - 3000
Nuwakot,2000-3000,2000 - 3000
Jiri,2000-3000,2000 - 3000
Dolakha,2000-3000,2000 - 3000
Jumla,2000-3000,500 - 1000
